NCAA NAME,TFRRS NAME
University of Iowa,Iowa
University of Kansas,Kansas
University of Kentucky,Kentucky
University of La Verne,La Verne
University of Louisiana Monroe,ULM
University of Louisiana at Lafayette,UL-Lafayette
University of Louisville,Louisville
University of Lynchburg,Lynchburg
University of Maine,Maine
University of Maine at Presque Isle,Maine-Presque Isle
"University of Maine, Farmington",Maine-Farmington
University of Mary,U-Mary
University of Mary Hardin-Baylor,UMHB
University of Mary Washington,Mary Washington
University of Maryland Eastern Shore,Maryland-Eastern Shore
"University of Maryland, Baltimore County",UMBC
"University of Maryland, College Park",Maryland
University of Massachusetts Boston,UMass Boston
University of Massachusetts Lowell,UMass Lowell
"University of Massachusetts, Amherst",UMass Amherst
"University of Massachusetts, Dartmouth",UMass Dartmouth
University of Memphis,Memphis
University of Miami (Florida),Miami (Fla.)
University of Michigan,Michigan
University of Minnesota Duluth,Minnesota-Duluth
"University of Minnesota, Crookston",Minnesota-Crookston
"University of Minnesota, Morris",Minnesota-Morris
"University of Minnesota, Twin Cities",Minnesota
University of Mississippi,Ole Miss
"University of Missouri, Columbia",Columbia (Mo.)
University of Missouri-Kansas City,Kansas City
University of Missouri-St. Louis,Missouri-St. Louis
University of Montana,Montana
University of Montevallo,Montevallo
University of Mount Olive,Mount Olive
University of Mount Union,Mount Union
University of Nebraska Omaha,Omaha
University of Nebraska at Kearney,Nebraska-Kearney
University of Nebraska-Lincoln,Nebraska
"University of Nevada, Las Vegas",UNLV
"University of Nevada, Reno",Nevada
University of New England,U. of New England
University of New Hampshire,New Hampshire
University of New Haven,New Haven
University of New Mexico,New Mexico
University of New Orleans,New Orleans
University of North Alabama,North Alabama
University of North Carolina Asheville,UNC-Asheville
University of North Carolina Wilmington,UNCW
University of North Carolina at Pembroke,UNC Pembroke
"University of North Carolina, Chapel Hill",North Carolina
University of North Dakota,North Dakota
University of North Florida,North Florida
University of North Georgia,North Georgia
University of North Texas,North Texas
University of Northern Colorado,Northern Colorado
University of Northern Iowa,Northern Iowa
University of Northwestern-St. Paul,Northwestern (Minn.)
University of Notre Dame,Notre Dame
University of Oklahoma,Oklahoma
University of Oregon,Oregon
University of Pennsylvania,Penn
University of Pittsburgh,Pittsburgh
"University of Pittsburgh, Bradford",Pitt.-Bradford
"University of Pittsburgh, Greensburg",Pitt.-Greensburg
"University of Pittsburgh, Johnstown",Pitt.-Johnstown
University of Portland,Portland
"University of Puerto Rico, Bayamon",P.R.-Bayamon
"University of Puerto Rico, Mayaguez",P.R.-Mayaguez
"University of Puerto Rico, Rio Piedras",P.R.-Rio Piedras
University of Puget Sound,Puget Sound
University of Redlands,Redlands
University of Rhode Island,Rhode Island
University of Richmond,Richmond
University of Rochester,Rochester
University of Saint Joseph (Connecticut),Saint Joseph (Conn.)
University of San Diego,San Diego
University of San Francisco,San Francisco
University of Scranton,Scranton
University of Sioux Falls,Sioux Falls
University of South Alabama,South Alabama
University of South Carolina Aiken,USC Aiken
University of South Carolina Beaufort,USC-Beaufort
University of South Carolina Upstate,USC Upstate
"University of South Carolina, Columbia",South Carolina
University of South Dakota,South Dakota
University of South Florida,South Florida
University of Southern California,USC
University of Southern Indiana,Southern Indiana
University of Southern Maine,Southern Maine
University of St. Thomas (Minnesota),St. Thomas (Minn.)
University of St. Thomas (Texas),St. Thomas (Tex.)
University of Tampa,Tampa
University of Tennessee at Chattanooga,Chattanooga
University of Tennessee at Martin,Tennessee-Martin
"University of Tennessee, Knoxville",Tennessee
University of Texas Permian Basin,UT-Permian Basin
University of Texas at Arlington,UT-Arlington
University of Texas at Austin,Texas
University of Texas at Dallas,UT-Dallas
University of Texas at El Paso,UTEP
University of Texas at San Antonio,UTSA
University of Toledo,Toledo
University of Utah,Utah
University of Valley Forge,Valley Forge
University of Vermont,Vermont
University of Virginia,Virginia
University of Washington,Washington
University of West Alabama,West Alabama
University of West Florida,West Florida
University of West Georgia,West Georgia
University of Wisconsin-Eau Claire,Wis.-Eau Claire
University of Wisconsin-Green Bay,Wis.-Green
University of Wisconsin-La Crosse,Wis.-La Crosse
University of Wisconsin-Madison,Wisconsin
University of Wisconsin-Milwaukee,Milwaukee
University of Wisconsin-Oshkosh,Wis.-Oshkosh
University of Wisconsin-Parkside,Wis.-Parkside
University of Wisconsin-Platteville,Wis.-Platteville
University of Wisconsin-River Falls,Wis.-River Falls
University of Wisconsin-Stevens Point,Wis.-Stevens Point
University of Wisconsin-Stout,Wis.-Stout
University of Wisconsin-Superior,Wis.-Superior
University of Wisconsin-Whitewater,Wis.-Whitewater
University of Wyoming,Wyoming
University of the District of Columbia,District of Columbia
University of the Incarnate Word,Incarnate Word
University of the Ozarks (Arkansas),Ozarks (Ark.)
University of the Pacific,!NONE
University of the South,U. of the South
Upper Iowa University,Upper Iowa
Ursinus College,Ursinus
Ursuline College,Ursuline (Ohio)
Utah State University,Utah State
Utah Tech University,Utah Tech
Utah Valley University,Utah Valley University
Utica University,Utica
Valdosta State University,Valdosta State
Valparaiso University,Valparaiso
Vanderbilt University,Vanderbilt
Vassar College,Vassar
Villanova University,Villanova
Virginia Commonwealth University,VCU
Virginia Military Institute,VMI
Virginia Polytechnic Institute and State University,Virginia Tech
Virginia State University,Virginia State
Virginia Union University,Virginia Union
Virginia Wesleyan University,Virginia Wesleyan
Wabash College,Wabash
Wagner College,Wagner
Wake Forest University,Wake Forest
Walsh University,Walsh
Warren Wilson College,Warren Wilson
Wartburg College,Wartburg
Washburn University,Washburn
Washington College (Maryland),!NONE
Washington State University,Washington St.
Washington University in St. Louis,Washington U.
Washington and Jefferson College,Washington & Jefferson
Washington and Lee University,Washington and Lee
Wayne State College (Nebraska),Wayne State (Neb.)
Wayne State University (Michigan),Wayne State (Mich.)
Waynesburg University,Waynesburg
Weber State University,Weber State
Webster University,Webster
Wellesley College,Wellesley
Wells College,Wells
Wentworth Institute of Technology,Wentworth
Wesleyan College (Georgia),Wesleyan
Wesleyan University (Connecticut),Wesleyan (Ga.)
West Chester University of Pennsylvania,West Chester
West Liberty University,West Liberty
West Texas A&M University,West Texas A&M
West Virginia State University,West Virginia St.
West Virginia University,West Virginia
West Virginia Wesleyan College,West Virginia Wesleyan
Western Carolina University,Western Carolina
Western Colorado University,Western Colorado
Western Connecticut State University,Western Conn. St
Western Illinois University,Western Illinois
Western Kentucky University,Western Kentucky
Western Michigan University,Western Michigan
Western New England University,Western NE
Western New Mexico University,Western New Mexico
Western Oregon University,Western Oregon
Western Washington University,Western Washington
Westfield State University,Westfield State
Westminster College (Missouri),Westminster (Mo.)
Westminster College (Pennsylvania),Westminster (Pa.)
Westminster College (Utah),Westminster (Utah)
Westmont College,Westmont
Wheaton College (Illinois),Wheaton (Ill.)
Wheaton College (Massachusetts),Wheaton (Mass.)
Wheeling University,Wheeling
Whitman College,Whitman
Whittier College,Whittier
Whitworth University,Whitworth
Wichita State University,Wichita State
Widener University,Widener
Wilkes University,Wilkes
Willamette University,Willamette
William & Mary,William and Mary
William Jewell College,William Jewell
William Paterson University of New Jersey,William Paterson
William Peace University,William Peace
Williams College,Williams
Wilmington College (Ohio),Wilmington (Del.)
Wilmington University (Delaware),Wilmington (Ohio)
Wilson College,!NONE
Wingate University,Wingate
Winona State University,Winona State
Winston-Salem State University,Winston-Salem St.
Winthrop University,Winthrop
Wisconsin Lutheran College,Wisconsin Lutheran
Wittenberg University,Wittenberg
Wofford College,Wofford
Worcester Polytechnic Institute,Worcester State
Worcester State University,WPI
Wright State University,Wright State
Xavier University,Xavier (Ohio)
Yale University,Yale
Yeshiva University,Yeshiva
York College (New York),York (N.Y.)
York College (Pennsylvania),York (Pa.)
Young Harris College,Young Harris
Youngstown State University,Youngstown St.
